"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
KC6414;Met Btl Scr 0.6;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC6414-small.png;105;9;;;;
GQ1063;YB BOS SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GQ1063-small.png;105;7;4%;17;;60
JW2577;AIRCHILL SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW2577-small.png;105;7;;2;;
JC9153;FIREBIRD TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC9153-small.png;105;6;;4;;14
JI9093;J TRAIN TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI9093-small.png;105;8;;18;;32
JD1876;M 3S FT FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD1876-small.png;105;7;-14%;;;
JY7044;I BL TEE 160;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY7044-small.png;104;10;;19;1;14
IV5217;M A SZN T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IV5217-small.png;104;4;293%;3;578;
IT7585;ADIZERO E JCKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IT7585-small.png;104;3;;6;1;
JX3055;TRACK PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX3055-small.png;104;3;;7;;
JM5761;RUN IT TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM5761-small.png;104;5;;20;1;74
JM0806;LK MRVL SM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM0806-small.png;104;14;;;;
KW1269;GFO W TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KW1269-small.png;104;7;;19;;22
G16220;ADILETTE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G16220-small.png;103;8;-10%;2;43;158
GH4586;W ESS DOWN VES;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GH4586-small.png;103;8;-90%;;;
HM9303;APWR BP YOUTH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HM9303-small.png;103;5;-54%;12;215;
IV9177;J ZNE Q2 FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IV9177-small.png;103;6;-60%;4;;
IR5239;M Z.N.E. PR SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR5239-small.png;103;15;-52%;;;
JH7745;F50 LEAGUE FG/MG J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH7745-small.png;103;5;;;;
IX7443;SHORT TEE SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IX7443-small.png;103;12;-76%;;;
IG0712;DURAMO SL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG0712-small.png;103;11;-95%;2;;
KG9866;CURVED ADLG TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9866-small.png;103;8;;;;
JE8890;M BL FT HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE8890-small.png;102;6;;2;;
JI8383;OPT ST HR 1/1 L;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI8383-small.png;102;10;;3;;
HQ0941;TERREX VOYAGER 21 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ0941-small.png;102;4;-89%;;;
JE8971;M BL FT PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE8971-small.png;102;4;;;;
ID5286;ADVANTAGE CF I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID5286-small.png;102;11;;52;27;
HY2085;JP RACING MANGA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HY2085-small.png;102;13;;;;
JX2705;3 STRIPES ZIPUP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX2705-small.png;102;4;;;;
JN0548;aSMC TST CROP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN0548-small.png;102;5;;;;
JE1378;LK BL T-SET 160;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE1378-small.png;102;11;;;;
IP3996;TIRO SG MTC J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IP3996-small.png;102;14;;35;358;459
JV5105;J GRAFFITI T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5105-small.png;102;12;;;;
IM4543;SST TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IM4543-small.png;102;11;;;;
KF6714;TOUR HAT 3 STP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KF6714-small.png;102;6;;32;129;282
HL2161;W LIN FT SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HL2161-small.png;102;6;;21;;
GM6278;A.R BB CP 3S 4A;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GM6278-small.png;102;12;-81%;4;;2
JX5211;RUFFLE CREW 2P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX5211-small.png;101;18;;;;
IF7184;RIVALRY LUX LOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF7184-small.png;101;3;;;;
JF3693;W MT LITEFLEX P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JF3693-small.png;101;5;;;;
JN9669;OTR SD 2in1 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN9669-small.png;101;7;;;;
JN2156;LB SMI TR SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN2156-small.png;101;16;;;;
JN2692;FN 2PP SO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN2692-small.png;101;13;;2;;4
FX7532;STAN SMITH CF I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX7532-small.png;101;19;-9%;;;
JW7533;J FI 3S T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW7533-small.png;101;12;;;;
JN4585;OPT 3S 1/1;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN4585-small.png;100;11;;;;
ID6865;FORUM LOW CL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID6865-small.png;100;7;284%;;;
JV9865;W ALL SZN SL TK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV9865-small.png;99;10;;;;
JR4677;DROPSET 4 TRAINER M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR4677-small.png;99;1;;;15;
IH8218;DURAMO SL2 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8218-small.png;99;3;;;2;
KS7800;KNIT TT OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KS7800-small.png;99;3;;;;
JQ4775;adidas TAEKWONDO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ4775-small.png;99;2;;58;125;
JD4877;M FI 3S REG T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD4877-small.png;99;4;;20;656;
ID1254;COURT 24;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID1254-small.png;99;5;;;;
JM0141;MT CW T FZ FL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM0141-small.png;99;5;;1;;
JR5103;GRAND COURT 2.0 CF I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR5103-small.png;99;5;;35;;31
JI8771;M FI 3BAR CRW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI8771-small.png;99;10;;;;
JV7484;ESS WR PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7484-small.png;99;6;;1;;
JM8336;ADIZERO E TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM8336-small.png;99;11;;;;
IC1333;C SPW LOW 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC1333-small.png;99;17;-51%;14;;16
JM6434;M HOL MET HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM6434-small.png;98;6;;9;;
JX0451;W FI SL BB TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX0451-small.png;98;7;;;;
JZ6028;OPTIME Bra Tank;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JZ6028-small.png;98;5;;;55;
JV5355;MER DNA TT M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5355-small.png;98;5;;;;
GS8895;B BL SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GS8895-small.png;98;15;40%;;;
HP8915;GRAND COURT 2.0 EL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP8915-small.png;98;9;-68%;2;;7
IY4812;PADDED JACKET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY4812-small.png;98;4;;;509;
JZ0901;MER DNA GFTEE Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JZ0901-small.png;98;9;;;;
JY4211;aSMC BOTTLE P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY4211-small.png;98;6;;;;
IW2640;M CODES BOS T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW2640-small.png;98;12;;;;
ID5283;ADVANTAGE CF I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID5283-small.png;98;10;;;;
JV9882;FIREBIRD TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV9882-small.png;98;5;;;;
IF7086;HANDBALL SPEZIAL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF7086-small.png;98;2;;;7;
JI1388;ULTRABOOST 5 CLIMAWARM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1388-small.png;98;2;;;;
JP2781;aSMC HN CROP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP2781-small.png;97;4;;3;;11
IE8460;AVRYN_X;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8460-small.png;97;7;-96%;;;
IB8168;TR-ES BASE 3PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IB8168-small.png;97;7;;;;
GN4027;B BL HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GN4027-small.png;97;11;-57%;4;;
KE6244;TRA DEF DUF XS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE6244-small.png;97;5;;;169;118
JC8534;SHORT TEE SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC8534-small.png;97;10;;;;
JX7872;ADICOLOR SB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX7872-small.png;97;4;;;0;
KD9396;KNIT A15;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KD9396-small.png;97;2;;11;;
JJ0280;LONG SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ0280-small.png;97;10;;;;
JC9728;LK BL FT JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC9728-small.png;97;6;;;;
EF5990;CONTINENTAL 80;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/EF5990-small.png;97;5;-92%;;;
JY2984;GRAPHIC LO SS T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY2984-small.png;96;8;;1;;4
JC8517;Baseball Cap;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC8517-small.png;96;10;;;;
JE6374;M 3S FT SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE6374-small.png;96;3;;27;;
GT9504;I BOS LOGO JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GT9504-small.png;96;14;13%;5;;18
JP3171;aSMC TT ZIP C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP3171-small.png;96;6;;;;
DU0676;W E LIN TIGHT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/DU0676-small.png;96;8;-27%;;;
JV5428;MER DNA SHO Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5428-small.png;96;8;;;;
IV7364;MYSHELTER PARKA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IV7364-small.png;96;1;;;;
GN1485;B BL SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GN1485-small.png;96;12;-63%;;;
IW1618;aSMC BUMBAG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW1618-small.png;96;2;;;;
JH9212;ULTRABOOST 1.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH9212-small.png;96;3;;;;
KC4992;W STA SEAS PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC4992-small.png;96;3;;;;
JX6776;aSMC REGL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX6776-small.png;96;5;;;;
JV7243;SEA FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7243-small.png;96;5;;;;
JI8873;M 3S FT TT TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI8873-small.png;96;5;;;;
JJ1010;aSMC PCKBL TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ1010-small.png;96;6;;2;;
JC6719;FIREBIRD SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC6719-small.png;96;8;;;;
IR5236;M Z.N.E. TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR5236-small.png;96;9;-81%;;;
JE1612;SHORT TEE SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE1612-small.png;96;10;-81%;;;
IY5254;WID CUFF BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY5254-small.png;96;10;;;50;
JV7752;GRAPHIC REG SS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7752-small.png;96;10;;;;
ID6521;CLOUDFOAM MOVE SOCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID6521-small.png;95;3;;39;135;
HT3523;PERF BTTL 0,5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HT3523-small.png;95;14;;5;;4
GX5312;ZX 8000 CRIB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GX5312-small.png;95;18;;;;
HT3334;TOUR HAT 3 STP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HT3334-small.png;95;11;93%;28;7;20
JX7317;D4T FZ HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX7317-small.png;95;6;;1;;
JE0052;W 3S FT FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JE0052-small.png;95;3;;;;
IP3044;SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IP3044-small.png;95;5;;20;;70
JL7392;I SD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JL7392-small.png;95;4;;7;54;
HN5445;LK BP BOS NEW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HN5445-small.png;94;7;21%;18;;
JX8174;GRAPHIC LO SS T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX8174-small.png;94;10;;;;
JD9563;CLSC BARS 3S;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD9563-small.png;94;6;;1;330;
JJ1931;REAL H JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ1931-small.png;94;3;;1;3;
JW2434;INF GLAM SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW2434-small.png;94;9;;;;
HS5509;PERFORM CAP EU;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HS5509-small.png;94;8;48%;13;;11
JI8041;TLRDIM HS BRA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI8041-small.png;94;7;;;;
JV7404;3S CREW S 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7404-small.png;93;12;;;;
IH8758;RUNFALCON SPIDER-MAN EL I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8758-small.png;93;9;;7;;
IX5109;TREFOIL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IX5109-small.png;93;16;-12%;7;16;
JH3713;W 3S LEG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH3713-small.png;93;6;-5%;36;808;
IN0115;RUN IT TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN0115-small.png;93;13;-69%;1;;2
IW0063;W FIT 3S LS TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW0063-small.png;93;3;;;;
JI5133;aSMC TRACKTOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI5133-small.png;93;2;-19%;;;
JP9705;TOKYO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP9705-small.png;93;4;;;;
KS0414;MOHAIR FB TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KS0414-small.png;93;4;;;;
IM7686;MT INS JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IM7686-small.png;93;7;;;;
IY7427;TREFOIL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY7427-small.png;93;16;-1%;;;
JD0060;J  CB T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0060-small.png;93;10;;;;
JN9870;OTR MEL TEE M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN9870-small.png;92;6;;1;;
H44277;BOS Blank Tee M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H44277-small.png;92;16;;;;
JV7353;LK 3S TEE 160;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7353-small.png;92;18;;;;
JX7724;SHORTSLEEVE TE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX7724-small.png;92;8;;;;
IL8260;TIRO24 C TR JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IL8260-small.png;92;10;;;;
IZ1158;W Collegiate T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IZ1158-small.png;92;11;;;;
IW6330;OLYMPICS24 TRN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW6330-small.png;92;5;;20;619;
JF3659;LK DY LS T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JF3659-small.png;92;11;;;;
IX5237;SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IX5237-small.png;91;8;-22%;8;;14
JD0694;Q12 MONOGRAM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0694-small.png;91;4;;27;;
JX5801;MER DR JSYW RLM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX5801-small.png;91;6;;;;
IZ3434;G BL SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IZ3434-small.png;91;9;;25;5;
KT7293;GFO W TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KT7293-small.png;91;5;;27;;
JX5220;OMBRE CR S 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX5220-small.png;91;10;;2;;1
KR4904;FB AOP TRI BK S;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KR4904-small.png;90;2;;10;;
JH9066;ULTRABOOST 5 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH9066-small.png;90;3;;;;
JR9446;SAMBA OG W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR9446-small.png;90;3;;1;;
JW6685;M CT HOLIDAY WB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW6685-small.png;90;3;;;;
IX7624;SST TRACKSUIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IX7624-small.png;90;6;;;;
JV5252;J YAY SPORT T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5252-small.png;90;6;;24;;42
JQ0145;BREAK START MID C WINTERIZED;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ0145-small.png;90;5;;;441;
JV7439;3S ANKLE S 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7439-small.png;90;10;;;;
JD0531;SKIRT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JD0531-small.png;90;10;;1;;1
JV5192;J COLLEG T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV5192-small.png;90;19;;;;
JN9362;aSMC MLTI SP BG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN9362-small.png;90;3;;;;
KC3518;DINER TEXT TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KC3518-small.png;90;8;-25%;;;
JN9028;M Z.N.E. WV TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN9028-small.png;90;5;;;;
JX5127;M A SZN FT R PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX5127-small.png;89;7;;;;
JZ0609;TRA DEF DUF XS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JZ0609-small.png;89;5;;;520;
IY9080;M FEELCOZY SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY9080-small.png;89;7;;31;207;
JM9882;WE OPT AOP 1/1;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM9882-small.png;89;10;-27%;1;;4
HD7245;A.R BB CP 3S 4A;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HD7245-small.png;89;11;18%;31;226;
JQ0396;COPA PURE IV ELITE FG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ0396-small.png;89;1;;;;
IH0869;Y-3 ULTRABOOST 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH0869-small.png;89;2;;;;
JM1409;aSMC TPR DR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM1409-small.png;89;2;;;;
JM9185;WE ZP THRU JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JM9185-small.png;89;4;;;0;
JI0970;GRAND COURT 2.0 K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0970-small.png;89;3;;39;1;70
JV7232;M A SZN FT FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7232-small.png;89;5;;1;;
S75104;STAN SMITH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/S75104-small.png;89;5;-94%;3;;
JY4573;WE CREW T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JY4573-small.png;89;9;;;;
KE2271;adi365 Crop W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE2271-small.png;88;6;;;;
KA0630;aSMC TST SH LEG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KA0630-small.png;88;5;;3;;11
JW7816;W FI 3S SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JW7816-small.png;88;5;;18;;
JJ3354;SHORT TEE SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JJ3354-small.png;88;10;;1;;
JV7514;ADIBREAK PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JV7514-small.png;88;2;;24;;
EG4959;SUPERSTAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/EG4959-small.png;88;2;-79%;0;;
JH7098;SUPERSTAR II W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH7098-small.png;88;2;;;;
JQ6005;LIGHTBLAZE ATR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ6005-small.png;88;2;;1;;
JI0456;HANDBALL SPEZIAL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0456-small.png;88;6;;;;
JP6105;ADIMALS FINNY FORUM 360 I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP6105-small.png;88;6;;3;12;
JN5356;PRED GL TRN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JN5356-small.png;88;7;;1;;4
