"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
IW8535;M FI 3S PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW8535-small.png;2 662;65;1%;51;181;812
JP5325;VL COURT 3.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP5325-small.png;2 661;50;;3;;4
JR3737;CAMPUS 00s WTR MD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR3737-small.png;2 642;62;;;3;
IE0744;RUNFALCON 3.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE0744-small.png;2 638;66;19%;5;;1
JS1431;TERREX ANYLANDER CLIMAWARM +;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1431-small.png;2 606;50;;;0;
JQ2999;GRAND COURT ALPHA 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ2999-small.png;2 595;45;;10;;9
ID4019;CLOUDFOAM GO LOUNGER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID4019-small.png;2 576;65;;28;;6
JX4119;PADDED VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX4119-small.png;2 560;52;;1;;
IF1488;ULTRABOOST LIGHT W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1488-small.png;2 549;49;57%;1;;1
JS5038;GRAND COURT ALPHA 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS5038-small.png;2 540;44;;10;;4
JR7773;TERREX TRACEFINDER 2 CLIMA W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR7773-small.png;2 531;64;;6;;7
B75807;SAMBA OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/B75807-small.png;2 521;36;0%;117;947;1241
ID9843;CAMPUS 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID9843-small.png;2 500;37;-27%;32;;16
JI4904;BARREDA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI4904-small.png;2 483;52;;4;;3
JR0757;BARREDA DECODE J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR0757-small.png;2 472;65;;12;;4
IF4954;TERREX AX4 MID BETA C.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4954-small.png;2 420;35;;;;
IW8529;M FI 3S FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW8529-small.png;2 404;53;6%;3;;
JQ2623;GALAXY 7 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ2623-small.png;2 403;64;;21;21;8
